,ticker,timestamp,open_price,highest_price,lowest_price,close_price,MACD,signal,AO,AC,histogram
1014,SOLUSDT,2024-10-29,178.22,183.45,176.33,179.42,8.124772842982566,6.539747687406967,17.987323529411753,0.617623529411766,1.5850251555755985
1015,SOLUSDT,2024-10-30,179.42,181.4,172.9,174.83,7.942348570527656,6.820267864031105,19.075176470588247,1.3055235294117828,1.1220807064965514
1016,SOLUSDT,2024-10-31,174.83,176.55,167.53,168.64,7.215123302130991,6.899238951651083,19.506735294117675,1.1699000000000304,0.3158843504799078
1017,SOLUSDT,2024-11-01,168.64,174.05,163.25,166.02,6.354133438832974,6.790217849087462,18.057058823529417,-0.43601764705882573,-0.4360844102544874
1018,SOLUSDT,2024-11-02,166.02,168.6,162.01,166.05,5.609550116433297,6.554084302556629,15.700823529411764,-2.3646000000000065,-0.9445341861233318
1019,SOLUSDT,2024-11-03,166.05,166.51,157.67,162.43,4.673485688724924,6.177964579790289,11.95347058823532,-4.905182352941164,-1.5044788910653653
1020,SOLUSDT,2024-11-04,162.43,164.98,155.02,157.83,3.5198912147229464,5.646349906776821,8.221117647058833,-6.4667235294117695,-2.126458692053874
1021,SOLUSDT,2024-11-05,157.83,169.3,156.8,166.56,3.2723754164054526,5.171555008702548,5.852529411764721,-6.104470588235291,-1.899179592297095
1022,SOLUSDT,2024-11-06,166.56,190.16,166.29,186.63,4.642186395884266,5.065681286138892,6.583117647058799,-3.079094117647088,-0.4234948902546254
1023,SOLUSDT,2024-11-07,186.63,198.04,185.88,196.46,6.4466572613348205,5.341876481178078,10.396323529411745,1.7950117647058619,1.1047807801567426
1024,SOLUSDT,2024-11-08,196.46,205.28,195.67,200.02,8.070938910775169,5.887688967097496,16.380382352941155,6.893688235294103,2.183249943677673
1025,SOLUSDT,2024-11-09,200.02,203.59,194.88,200.02,9.251547736852075,6.560460721048412,22.61282352941174,10.24778823529411,2.691087015803663
1026,SOLUSDT,2024-11-10,200.02,215.77,198.77,210.31,10.891950119255881,7.426758600689906,29.70961764705885,12.573164705882391,3.465191518565975
1027,SOLUSDT,2024-11-11,210.31,224.36,204.14,222.33,13.011901272201811,8.543787134992288,34.8269705882353,12.041747058823539,4.468114137209524
1028,SOLUSDT,2024-11-12,222.33,225.71,204.85,211.77,13.682154725111559,9.571460653016143,37.33288235294117,9.160347058823525,4.110694072095416
1029,SOLUSDT,2024-11-13,211.77,220.82,200.87,215.3,14.332955524683456,10.523759627349605,37.2679117647059,4.91787058823531,3.8091958973338507
1030,SOLUSDT,2024-11-14,215.3,223.17,206.58,209.64,14.227993695006944,11.264606440881073,38.26841176470586,2.7872529411764475,2.9633872541258715
1031,SOLUSDT,2024-11-15,209.64,220.8,204.47,218.69,14.705553586912714,11.952795870087401,37.37950000000001,0.3643647058823589,2.752757716825313
1032,SOLUSDT,2024-11-16,218.69,222.1,213.4,215.87,14.687168276161856,12.499670351302294,35.987294117647025,-1.2599058823529674,2.187497924859562
1033,SOLUSDT,2024-11-17,215.87,242.46,212.13,237.62,16.24043142840935,13.247822566723706,36.190294117647085,-0.8283882352940921,2.992608861685646
1034,SOLUSDT,2024-11-18,237.62,248.86,234.19,239.97,17.45976373939061,14.090210801257086,39.77864705882351,2.2578176470588147,3.3695529381335234
1035,SOLUSDT,2024-11-19,239.97,247.88,233.5,237.75,18.039015393414218,14.879971719688514,42.440764705882344,4.085464705882352,3.1590436737257033
1036,SOLUSDT,2024-11-20,237.75,242.66,230.56,235.48,18.106189590801193,15.525215293911051,44.736941176470566,4.910152941176463,2.580974296890142
1037,SOLUSDT,2024-11-21,235.48,260.27,229.62,256.64,19.640457812790373,16.34826379768692,47.474470588235334,5.3502470588235695,3.2921940151034548
1038,SOLUSDT,2024-11-22,256.64,264.88,251.39,257.18,20.661773852094854,17.210965808568506,50.65717647058824,5.6395764705882385,3.4508080435263473
1039,SOLUSDT,2024-11-23,257.18,264.4,252.55,255.08,21.058967058363663,17.98056605852754,51.23173529411767,3.923517647058837,3.0784009998361235
1040,SOLUSDT,2024-11-24,255.08,260.03,240.73,252.92,20.95786239594338,18.576025326010708,50.70341176470586,1.7426647058823264,2.381837069932672
1041,SOLUSDT,2024-11-25,252.92,256.96,231.21,234.38,19.160838943665965,18.69298804954176,49.93002941176471,-0.06933529411765704,0.46785089412420433
1042,SOLUSDT,2024-11-26,234.38,239.89,221.92,230.83,17.251366564318545,18.404663752497118,45.30702941176472,-4.25884705882352,-1.1532971881785734
1043,SOLUSDT,2024-11-27,230.83,243.58,227.71,242.14,16.46096664814243,18.01592433162618,39.02064705882353,-8.21792352941177,-1.5549576834837495
1044,SOLUSDT,2024-11-28,242.14,245.55,232.95,237.75,15.303918660846136,17.473523197470172,33.08255882352938,-10.526176470588254,-2.1696045366240355
1045,SOLUSDT,2024-11-29,237.75,247.02,236.69,243.52,14.683280851302328,16.915474728236603,29.19961764705883,-10.1083588235294,-2.232193876934275
1046,SOLUSDT,2024-11-30,243.52,245.55,237.61,237.76,13.570208141815897,16.24642141095246,26.716999999999985,-7.948370588235306,-2.6762132691365643
1047,SOLUSDT,2024-12-01,237.76,240.1,234.2,237.09,12.490049088607805,15.495146946483532,26.1695294117647,-4.668341176470584,-3.005097857875727
1048,SOLUSDT,2024-12-02,237.09,238.61,220.25,225.93,10.611177476110214,14.51835305240887,23.469470588235282,-4.258164705882354,-3.9071755762986555
1049,SOLUSDT,2024-12-03,225.93,239.99,215.0,234.19,9.677119346932756,13.550106311313648,19.637735294117647,-5.400935294117641,-3.8729869643808925
1050,SOLUSDT,2024-12-04,234.19,241.23,224.77,229.36,8.4497277147062,12.53003059199216,16.073794117647054,-6.3397117647058785,-4.080302877285961
1051,SOLUSDT,2024-12-05,229.36,245.07,223.07,236.13,7.931859880742849,11.610396449742298,12.647676470588237,-6.951964705882347,-3.6785365689994496
1052,SOLUSDT,2024-12-06,236.13,247.47,231.01,237.1,7.513110325577941,10.790939224909428,10.89111764705882,-5.652841176470588,-3.277828899331487
1053,SOLUSDT,2024-12-07,237.1,243.92,234.24,238.35,7.1991257985902735,10.072576539645597,10.55670588235293,-3.404700000000009,-2.873450741055324
1054,SOLUSDT,2024-12-08,238.35,241.82,233.31,237.23,6.781740476322568,9.41440932698099,10.289382352941146,-1.8023529411764905,-2.6326688506584226
1055,SOLUSDT,2024-12-09,237.23,237.51,201.17,216.67,4.737330432080682,8.478993548000929,5.901794117647057,-4.155541176470582,-3.7416631159202467
1056,SOLUSDT,2024-12-10,216.67,221.05,203.14,213.58,2.83510227283611,7.350215292967966,0.5106176470588366,-7.119305882352921,-4.515113020131856
1057,SOLUSDT,2024-12-11,213.58,230.63,211.39,227.29,2.4061189312873807,6.361396020631849,-3.989794117647051,-8.643535294117635,-3.9552770893444684
1058,SOLUSDT,2024-12-12,227.29,234.86,225.53,226.92,2.0130850433926355,5.491733825184007,-6.640911764705891,-7.85512941176471,-3.478648781791372
1059,SOLUSDT,2024-12-13,226.92,228.45,220.38,224.74,1.5083082361429945,4.695048707375805,-10.011500000000012,-7.1655411764706,-3.1867404712328105
1060,SOLUSDT,2024-12-14,224.74,227.48,215.09,219.89,0.7087445468603164,3.8977878752727073,-10.034705882352938,-4.001447058823527,-3.189043328412391
1061,SOLUSDT,2024-12-15,219.89,225.49,215.65,224.24,0.42123744503643934,3.202477789225454,-8.525588235294123,-0.6850882352941197,-2.7812403441890146
